table	category	scope_source	tenant_id	workspace_id	parent_derived	read_write_paths	worker_path	rls_required	policy_shape	test	reason
catalog_management.product_visibility	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogProductAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	product_visibility is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion_category	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion_category is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion_client_account	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion_client_account is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion_product	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion_product is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion_rule	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogPricingPreviewAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPromotionAdapter.java	No cross-scope worker path found; request-scoped Catalog query/command adapters.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion_rule is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.promotion_sku	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java	CatalogSkuPersistenceBootstrap.reconcile enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	promotion_sku is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.seed_import_history	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogPersistenceBootstrap.java	CatalogPersistenceBootstrap.importDeterministicSeed enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	seed_import_history is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.sellable_sku	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/inventoryavailability/infrastructure/persistence/WarehouseInventoryPersistenceAdapter.java;src/main/java/com/nexa/api/inventoryavailability/infrastructure/persistence/WarehousePhysicalAllocationAdapter.java;src/main/java/com/nexa/api/inventoryavailability/infrastructure/persistence/WarehouseCommercialBackingAdapter.java;src/main/java/com/nexa/api/inventoryavailability/infrastructure/persistence/WarehouseJdbcSupport.java;src/main/java/com/nexa/api/businessdocuments/infrastructure/subject/JdbcDocumentProjectionLookupAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcSellableSkuQuery.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcSkuIdentifierResolutionQuery.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogVariantAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java;src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java	CatalogSkuPersistenceBootstrap.reconcile enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	sellable_sku is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
catalog_management.sku_price	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; table-specific composite FKs bind row to workspace or scoped parent.	yes	yes	no	src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcSellableSkuQuery.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/query/JdbcCatalogItemQueryAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/CatalogSkuService.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/persistence/JdbcCatalogPricingAdapter.java;src/main/java/com/nexa/api/catalogcommercialpolicy/infrastructure/seed/CatalogSkuPersistenceBootstrap.java	CatalogSkuPersistenceBootstrap.reconcile enumerates workspaces then sets transaction-local scope per workspace.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	sku_price is a direct Tenant/Workspace Catalog row, not merely parent-derived. V102 protects this current table under the same invariant as the previously enumerated set; the RLS inventory test requires it to stay classified and forced.
sales.manual_order_idempotency	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; scoped Sales command adapter and composite workspace/aggregate constraints.	yes	yes	no	src/main/java/com/nexa/api/salescommitment/infrastructure/salesorder/ManualSalesOrderPersistenceAdapter.java	No cross-scope worker path found; request-scoped Sales commands.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	manual_order_idempotency is a direct-scope Sales idempotency/sequence row; explicit tenant/workspace policy prevents command-state lookup or sequence mutation across workspaces.
sales.sales_order_sequence	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; scoped Sales command adapter and composite workspace/aggregate constraints.	yes	yes	no	src/main/java/com/nexa/api/salescommitment/infrastructure/salesorder/SalesOrderPersistenceAdapter.java;src/main/java/com/nexa/api/salescommitment/infrastructure/salesorder/ManualSalesOrderPersistenceAdapter.java;src/main/java/com/nexa/api/salescommitment/infrastructure/commitment/CommercialCommitmentPersistenceAdapter.java	No cross-scope worker path found; request-scoped Sales commands.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	sales_order_sequence is a direct-scope Sales idempotency/sequence row; explicit tenant/workspace policy prevents command-state lookup or sequence mutation across workspaces.
tenant_management.custom_field_definition	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcTenantConfigurationAdapter.java	No cross-scope worker path found; request-scoped tenant administration.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	custom_field_definition stores direct Tenant/Workspace control state and is accessed by tenant administration/identity paths; the row scope is enforced in PostgreSQL in addition to application authorization.
tenant_management.membership_admin_event	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java	No cross-scope worker path found; request-scoped tenant administration.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	membership_admin_event stores direct Tenant/Workspace control state and is accessed by tenant administration/identity paths; the row scope is enforced in PostgreSQL in addition to application authorization.
tenant_management.membership_authorization_state	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	src/main/java/com/nexa/api/bootstrap/local/LocalDevelopmentBootstrap.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/persistence/jpa/JpaSessionAdapter.java;src/main/java/com/nexa/api/bootstrap/runtime/SystemWorkflowActorBootstrap.java;src/main/java/com/nexa/api/tenantaccessgovernance/iam/infrastructure/security/JdbcOrganizationActivationAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcAuthorizationVersionAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcAuthorizationResolutionAdapter.java;src/main/java/com/nexa/api/tenantaccessgovernance/tenantmanagement/infrastructure/persistence/jdbc/JdbcOrganizationAdministrationAdapter.java	SystemWorkflowActorBootstrap and LocalDevelopmentBootstrap set the workspace scope before writes; organization activation sets scope before creating authorization state.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	membership_authorization_state stores direct Tenant/Workspace control state and is accessed by tenant administration/identity paths; the row scope is enforced in PostgreSQL in addition to application authorization.
tenant_management.membership_role_assignment	FORCED_RLS_DIRECT_SCOPE	Own tenant_id and workspace_id; direct row scope is independent of its workspace/membership reference.	yes	yes	no	(no current runtime Java reference found)	No current runtime Java read/write reference found by exact table search.	yes	direct scope USING+WITH CHECK	ModernPostgresRlsClosureMigrationTests.freshSchemaMatchesEveryTableClassificationAndV102Policy; RlsRuntimeDatabaseIsolationIT.directScopePoliciesFenceCatalogReadsWritesAndRollbackWithRuntimeRole	The V23 direct-scope assignment table remains present in Flyway schema but has no current runtime adapter reference. V102 keeps any direct access fail-closed and scoped rather than relying on its apparent legacy status.
